kod,nazwa,synteza,zadania,zadania_zawodowe,zawodowe
732,Robotnicy poligraficzni,"Robotnicy poligraficzni dobierają i ustawiają czcionkę przed drukiem, ustawiają i operują prasą drukarską, bindują i wykańczają wydrukowane produkty oraz przygotowują matryce i operują urządzeniami do sitodruku.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zwykle: operowanie kamerą graficzną oraz innym sprzętem fotograficznym w celu kopiowania obrazów na taśmy, płyty drukarskie i wyjściowe urządzenia cyfrowe; operowanie sprzętem komputerowym do skanowania, separacji i korekty kolorów, retuszu i innych procesów stosowanych do przenoszenia kopii na taśmy i druk z taśm, płyt drukarskich, cylindrów i nośników cyfrowych; ustawianie, operowanie i monitoring maszyn używanych w składaniu, fotografowaniu, kopiowaniu, druku i cięciu, składaniu i bindowaniu wydrukowanego materiału; wykonywanie rutynowych prac wykończeniowych oraz konserwacyjnych; przygotowywanie matryc i do sitodruku. Do ich zadań może także należeć nadzorowanie innych pracowników.",
741,"Elektrycy budowlani, elektromechanicy i elektromonterzy","Elektrycy budowlani, elektromechanicy i elektromonterzy instalują, montują, remontują i konserwują okablowanie elektryczne i pokrewny sprzęt, maszyny elektryczne oraz inne urządzenia elektryczne i przesyłu prądu oraz linie i kable zasilające; dokonują pomiarów i odpowiednich regulacji w zakładach wytwórczych, w miejscach pracy urządzeń, w punktach usługowych lub użytkownika prywatnego.",,"Zadania wykonywane przez pracowników ujętych w tej grupie obejmują zwykle: analizę rysunków, schematów i specyfikacji okablowania w celu określenia etapów i metod działania; inspekcje i testowanie systemów elektrycznych i elektronicznych, sprzętu, kabli i maszyn w celu identyfikacji zagrożeń, usterek lub ich naprawy; instalowanie, konserwację, naprawy linii telekomunikacyjnych i linii elektrycznych; łączenie kabli elektrycznych; wykonywanie wszelkiego typu elektrycznych instalacji oświetleniowych i siłowych, w tym lotniczych i okrętowych; instalację, konserwację, montaż oraz dostosowywanie okablowania, maszyn i sprzętu elektronicznego; instalowanie maszyn, urządzeń i sprzętu elektromechanicznego, elektrycznego i elektronicznego w miejscu pracy, włączając w to: górnictwo, trakcję elektryczną, jednostki taboru kolejowego, dźwignice, elektryczne tablice rozdzielcze, anteny telewizyjne i reklamy świetlne; dokonywanie przeglądów technicznych, diagnozowanie, wyszukiwanie i usuwanie uszkodzeń; przeprowadzanie napraw i remontów maszyn, urządzeń, sprzętu, instalacji i linii. Do ich zadań może także należeć nadzorowanie innych pracowników.",
742,Monterzy elektronicy i monterzy instalacji i urządzeń telekomunikacyjnych,"Monterzy elektronicy i monterzy instalacji i urządzeń telekomunikacyjnych montują, konserwują, dostosowują i naprawiają sprzęt elektryczny, instrumenty elektroniczne oraz systemy kontrolne, instalują, naprawiają i konserwują sprzęt telekomunikacyjny do przekazu danych, okablowanie i anteny oraz naprawiają, montują i serwisują komputery.",,"Zadania wykonywane przez pracowników tej grupy obejmują zwykle: badanie i testowanie maszyn, sprzętu, instrumentów i systemów kontrolnych w celu zdiagnozowania usterek; dostosowanie, naprawę i wymianę zużytych i wadliwych elementów i okablowania oraz konserwację maszyn, sprzętu i instrumentów; instalację instrumentów elektronicznych oraz systemów kontrolnych; montaż i dostosowanie sprzętu elektronicznego; serwisowanie, rozwiązywanie problemów, dostosowywanie, testowanie i naprawę komputerów, sprzętu do transmisji danych i urządzeń peryferyjnych; instalację, konserwację, naprawę i diagnozowanie usterek urządzeń mikrofalowych, telemetrycznych, typu multipleks, satelitarnych oraz innych systemów komunikacyjnych opartych o fale elektromagnetyczne; zapewnianie doradztwa technicznego oraz informacji technicznej, monitoring pracy sieci telekomunikacyjnych i sprzętu; instalację, przyłączanie i naprawy okablowania komputerów, radia, telefonów i odbiorników telewizyjnych; instalowanie, konserwację i naprawy anten stosowanych w telekomunikacji. Do ich zadań może także należeć nadzorowanie innych pracowników.",
751,Robotnicy w przetwórstwie spożywczym i pokrewni,"Robotnicy w przetwórstwie spożywczym i pokrewni dokonują uboju zwierząt, wyrabiają produkty spożywcze do spożycia przez ludzi i zwierzęta, wypiekają chleb, ciasta i inne produkty mączne, przetwarzają i konserwują owoce i warzywa, klasyfikują różne produkty spożywcze i napoje.",,"Zadania wykonywane przez robotników w przetwórstwie spożywczym i pokrewnych ujętych w tej grupie zazwyczaj obejmują: ubój zwierząt; obróbkę mięsa, ryb i pokrewnych; wypiekanie różnych rodzajów chleba, ciasta oraz innych produktów mącznych; przetwarzanie i konserwowanie owoców, warzyw i pokrewnych; klasyfikację różnych produktów spożywczych i napojów. Do ich zadań może także należeć nadzorowanie innych pracowników.",
752,"Robotnicy obróbki drewna, stolarze meblowi i pokrewni","Robotnicy obróbki drewna, stolarze meblowi i pokrewni konserwują i przegotowują drewno, produkują płyty paździerzowe, płyty wiórowe, płyty pilśniowe, płyty izolacyjne, sklejki drewniane, okleiny i tym podobne wyroby drewniane, a także wyrabiają, dekorują i naprawiają drewniane meble, w tym meble stylowe i artystyczne, obudowy, modele instrumentów muzycznych; wyrabiają meble wiklinowe i artykuły pokrewne.",,"Zadania wykonywane przez robotników obróbki drewna, stolarzy meblowych i pokrewnych ujętych w tej grupie zazwyczaj obejmują: obsługę i nadzór sprzętu przygotowawczego i innego sprzętu do suszenia drewna i innych produktów drzewnych oraz do obróbki chemicznej i impregnacji wyrobów drewnianych środkami konserwującymi; obsługę maszyn stolarskich do cięcia, kształtowania i formowania części i elementów, łączenie części w celu montażu kompletnych elementów wyrobów; ustawianie, programowanie, obsługę i monitorowanie różnego rodzaju maszyn i urządzeń stolarskich do produkcji wyrobów drewnianych; suszenie i konserwowanie drewna; wyrabianie, ozdabianie i naprawianie wzorów różnych wyrobów i artykułów, takich jak: drewniane narty, buty zdrowotne lub artykuły sportowe; wyrabianie mebli wiklinowych, koszyków, łubianek, mat, mioteł, szczotek i podobnych wyrobów. Do ich zadań może być także włączone nadzorowanie innych pracowników.",
753,Robotnicy produkcji odzieży i pokrewni,"Robotnicy produkcji odzieży i pokrewni dopasowują, przerabiają i naprawiają odzież wykonaną na zamówienie; projektują i wykonują odzież z tkanin i futer, produkty ze skóry lub futer, odnawiają i dekorują odzież, rękawiczki i inne produkty z tkanin; tworzą szablony do produkcji odzieży; montują, naprawiają i wymieniają obicia tapicerskie mebli, wyposażenia, przyrządów ortopedycznych i wyposażenia pojazdów; przycinają, garbują, polerują i farbują zwierzęce skóry lub futra; modyfikują i naprawiają obuwie i artykuły skórzane.",,"Zadania wykonywane przez pracowników ujętych w tej grupie zazwyczaj obejmują: dopasowywanie, przerabianie i naprawianie odzieży; projektowanie i produkcję ubrań szytych na miarę; wykonywanie kapeluszy i czapek; dokonywanie zmian stylistycznych odzieży, wykonywanie dokładnych szablonów do produkcji odzieży i innych wyrobów z tkanin, skóry lub futra; zszywanie, łączenie, naprawę, renowację i dekorację odzieży, rękawiczek i innych wyrobów z tkanin, futra, lekkich skór i innych materiałów; produkcję i montaż żagli, zasłon i plandek; zakładanie, naprawę i wymianę obić tapicerskich mebli, wyposażenia, przyrządów ortopedycznych, siedzeń, paneli i innych elementów wyposażenia pojazdów, wagonów pociągowych, samolotów, statków i tym podobnych; przycinanie, czyszczenie, garbowanie, polerowanie i farbowanie skór zwierzęcych lub futer do produkcji surowców skórzanych i gotowych futer do produkcji odzieży i innych wyrobów; produkcję, modyfikację lub naprawę obuwia standardowego, wykonanego na zamówienie lub ortopedycznego oraz wyrobów ze skóry naturalnej lub syntetycznej. Do ich zadań może być także włączone nadzorowanie innych pracowników.",
754,"Pozostali robotnicy przemysłowi, rzemieślnicy i pokrewni","Do grupy pozostali robotnicy przemysłowi, rzemieślnicy i pokrewni należą zawody, w których osoby pracują pod powierzchnią wody, z wykorzystaniem akwalungów; rozmieszczają, instalują i detonują materiały wybuchowe; dokonują sprawdzenia i testują surowce, wytworzone komponenty i produkty; usuwają niepożądane organizmy celem zapobieżenia powstawaniu szkód w uprawach, budynkach i innych konstrukcjach. W grupie tej zawierają się inne zawody z grupy robotników przemysłowych i rzemieślników, niesklasyfikowane w innych podgrupach grupy 7 Robotnicy przemysłowi, rzemieślnicy i pokrewni.",,Zadania wykonywane przez robotników ujętych w tej grupie zazwyczaj obejmują: kontrolę przestrzegania przepisów BHP; wykonywanie różnych zadań pod wodą; umieszczanie materiałów wybuchowych w otworach strzałowych; obsługę i monitorowanie sprzętu do rozpylania środków przeciw szkodnikom i chwastom; montowanie znaków nawigacyjnych. Do ich zadań może być także włączone nadzorowanie innych pracowników.,
811,Operatorzy maszyn i urządzeń górniczych i pokrewni,"Operatorzy maszyn i urządzeń górniczych i pokrewni zajmują się obsługą i monitorowaniem urządzeń i maszyn stosowanych do wydobywania skał i minerałów, przetwarzania minerałów i kamieni, wiercenia otworów i odwiertów oraz wykonywania i obróbki wykończeniowej produktów cementowych i kamiennych.",,"Zadania wykonywane przez operatorów ujętych w tej grupie zazwyczaj obejmują: nastawianie, obsługę i monitorowanie różnych urządzeń i maszyn górniczych przetwarzających minerały, takich jak: wiertnice oraz maszyny i sprzęt pomocniczy, maszyny górnicze o działaniu ciągłym oraz urządzeń i maszyn tnących, kruszących, szlifujących, pompujących i mieszających; obsługę sprzętu myjącego, oddzielającego, wydobywającego i wiążącego, stosowanego do usuwania odpadów i wydobywania minerałów; obsługę urządzeń i maszyn wytwarzających cement, beton, kamień sztuczny oraz elementy betonowe prefabrykowane i produkty kamienne; monitorowanie działania różnych urządzeń i maszyn, wykrywanie niesprawności i podejmowanie działań naprawczych; konserwacja, naprawy i czyszczenie urządzeń i maszyn; prowadzenie rejestrów produkcyjnych. Do ich zadań może być także włączone nadzorowanie innych pracowników.",
812,"Operatorzy maszyn i urządzeń do produkcji, przetwórstwa i obróbki  wykończeniowej metalu","Operatorzy maszyn i urządzeń do produkcji, przetwórstwa i obróbki wykończeniowej metalu zajmują się obsługą i monitorowaniem wyspecjalizowanych maszyn i sprzętów sterujących procesami konwersji, przetwarzania i obróbki rud minerałów i metali.",,"Zadania wykonywane przez operatorów maszyn i urządzeń do produkcji, przetwórstwa i obróbki wykończeniowej metalu ujętych w tej grupie zazwyczaj obejmują: nastawianie, przygotowywanie i regulację maszyn przetwarzających i obrabiających metale i rudy; koordynację i monitorowanie poszczególnych aspektów przetwarzania, produkcji i obróbki wykończeniowej metali; sprawdzanie sprzętu pod względem niesprawności, kontrolę mierników, przeprowadzanie rutynowych testów działania oraz organizacja prac konserwacyjnych; sprawdzanie, testowanie i badanie próbek; rejestrowanie danych i dokonywanie wpisów w dzienniku produkcji. Do ich zadań może być także włączone nadzorowanie innych pracowników.",
813,Operatorzy urządzeń do produkcji wyrobów chemicznych i fotograficznych,"Operatorzy maszyn i urządzeń do produkcji wyrobów chemicznych i fotograficznych zajmują się obsługą i monitorowaniem pracy maszyn przetwarzających różnorakie substancje i wyroby chemiczne oraz inne składniki i materiały pokrewne wykorzystywane do produkcji środków farmaceutycznych, toaletowych, materiałów wybuchowych, obróbki filmów oraz innych produktów chemicznych.",,"Zadania wykonywane przez operatorów maszyn i urządzeń do produkcji wyrobów chemicznych i fotograficznych ujętych w tej grupie zazwyczaj obejmują: obsługę i monitorowanie pracy maszyn i sprzętów do mieszania, pakowania i innych form przetwarzania środków i produktów chemicznych, celem nadania im pożądanych właściwości dla dalszej produkcji przemysłowej lub wytworzenia gotowego produktu; obsługiwanie i nadzorowanie instalacji i urządzeń do rafinowania, destylowania i przetwarzania ropy naftowej i gazu ziemnego; obsługiwanie i nadzorowanie instalacji, które produkują koks i gaz z węgla. Do ich zadań może być także włączone nadzorowanie innych pracowników.",
814,"Operatorzy maszyn do produkcji wyrobów gumowych, z tworzyw sztucznych  i papierniczych","Operatorzy maszyn do produkcji wyrobów gumowych, z tworzyw sztucznych i papierniczych obsługują i monitorują działanie maszyn wytwarzających różnorakie komponenty i produkty z naturalnej i syntetycznej gumy i plastiku lub różnorakie produkty z papieru, kartonu, tektury i podobnych materiałów.",,"Zadania wykonywane przez operatorów maszyn do produkcji wyrobów gumowych, z tworzyw sztucznych i papierniczych ujętych w tej grupie zazwyczaj obejmują: obsługę i nadzorowanie działania urządzeń do przygotowywania recepturowych mieszanek gumowych, tworzyw sztucznych i papierniczych; obsługę i monitorowanie działania maszyn do ugniatania i mieszania gumy i mieszanek gumowych oraz wytwarzających różnorakie komponenty i produkty z naturalnej i syntetycznej gumy i plastiku; obsługę i monitorowanie maszyn do wytwarzania różnorakich produktów z gumy, tworzyw sztucznych i papieru; badanie uzyskanych produktów pod kątem usterek i zgodności ze specyfikacjami oraz odpowiednie regulowanie ustawień maszyn. Do ich zadań może być także włączone nadzorowanie innych pracowników.",
815,"Operatorzy maszyn do produkcji wyrobów włókienniczych, futrzarskich i  skórzanych","Operatorzy maszyn do produkcji wyrobów włókienniczych, futrzarskich i skórzanych obsługują i monitorują pracę różnych rodzajów maszyn, które przygotowują, przetwarzają i obrabiają włókna, przędze, nici, skórę, futra; wytwarzają, modyfikują i naprawiają obuwie, odzież oraz wytwarzają lub piorą na sucho wyroby włókiennicze, futrzarskie i ze skóry miękkiej.",Zadania wykonywane przez operatorów maszyn do produkcji wyrobów,,"włókienniczych, futrzarskich i skórzanych ujętych w tej grupie zazwyczaj obejmują: obsługę i monitorowanie działania maszyn tkackich i dziewiarskich przetwarzających przędze lub nici w wyroby tkane, nietkane i dziane; obsługę i monitorowanie działania maszyn przygotowujących włókna oraz przędących, skręcających, obracających i nawijających przędze i nici z naturalnych włókien tekstylnych; obsługę i monitorowanie pracy maszyn do szycia w celu wytwarzania, naprawiania, cerowania, renowacji wyrobów włókienniczych, futrzarskich i skórzanych lub maszyn haftujących; obsługę i monitorowanie pracy maszyn bielących, kurczących, barwiących i poddających włókna, przędze, tkaniny innym formom obróbki lub piorących na sucho ubiory, wyroby futrzarskie, dywany i chodniki; obsługę i monitorowanie pracy różnych maszyn przygotowujących skóry lub obrabiających skórki futrzarskie; obsługę i monitorowanie pracy maszyn produkujących, modyfikujących i naprawiających obuwie standardowe; wytwarzanie na zamówienie wyrobów ortopedycznych oraz wyrobów ze skóry, takich jak: paski, torby, walizki. Do ich zadań może być także włączone nadzorowanie innych pracowników."
816,Operatorzy maszyn i urządzeń do produkcji wyrobów spożywczych i pokrewni,"Operatorzy maszyn i urządzeń do produkcji wyrobów spożywczych i pokrewni zajmują się ustawianiem i obsługiwaniem maszyn do uboju zwierząt, oddzielania mięsa od tusz; wypiekaniem, zamrażaniem, podgrzewaniem, rozgniataniem, mieszaniem i innymi formami przetwarzania artykułów spożywczych, napojów i liści tytoniu.",,"Zadania wykonywane przez operatorów maszyn i urządzeń do produkcji wyrobów spożywczych i pokrewnych ujętych w tej grupie zazwyczaj obejmują: obsługę i monitorowanie pracy maszyn do krępowania, uboju zwierząt oraz oddzielania standardowych części mięsa od tusz zwierzęcych; nastawianie i obsługę maszyn i pieców do mieszania, wypiekania i przygotowywania chleba oraz mącznych produktów ciastkarskich; obsługę maszyn do rozgniatania, mieszania, słodowania, gotowania i fermentowania ziaren oraz owoców do produkcji piwa, wina, napojów alkoholowych, octu, drożdży, cukru i pokrewnych produktów; obsługę sprzętu do produkcji dżemu, toffi, sera, syropów, lodu, lodów, makaronów, kiełbas, czekolady, skrobi kukurydzianej i tłuszczy jadalnych; obsługę sprzętu do chłodzenia, podgrzewania, suszenia, pieczenia, blanszowania, pasteryzowania, wędzenia, sterylizowania, zamrażania i koncentrowania artykułów spożywczych i płynów wykorzystywanych do przetwarzania żywności; mieszanie, rozcieranie na miazgę, mielenie, sporządzanie mieszanek i oddzielanie artykułów spożywczych i płynów za pomocą sprzętu prasującego, przesiewającego, mielącego i filtrującego; maszynowe przetwarzanie liści tytoniu w celu wyrobu papierosów, cygar, tytoniu i innych produktów tytoniowych. Do ich zadań może być także włączone nadzorowanie innych pracowników.",
817,Operatorzy maszyn i urządzeń do obróbki drewna i produkcji papieru,"Operatorzy maszyn i urządzeń do obróbki drewna i produkcji papieru obsługują, kontrolują i monitorują pracę zautomatyzowanego sprzętu do cięcia, piłowania, strugania, frezowania, gięcia i obróbki hydrotermicznej drewna do produkcji płyt, sklejek i forniru oraz przetwarzającego drewno i inne materiały w masę papierniczą i wytwarzającego z niej papier, pergamin i tekturę. Operatorzy maszyn ścierających obsługują i monitorują pracę różnych rodzajów maszyn i sprzętów przetwarzających drewno w celu produkcji celulozy.",,"Zadania wykonywane przez operatorów maszyn i urządzeń do obróbki drewna i produkcji papieru ujętych w tej grupie zazwyczaj obejmują: badanie kłód i surowca drzewnego w celu określenia rozmiaru, stanu i jakości w celu podjęcia decyzji odnośnie najlepszego sposobu cięcia; obsługę zautomatyzowanego sprzętu do przesuwania kłód przez skaner laserowy celem określenia najbardziej wydajnego i korzystnego wzoru cięcia; sortowanie, stertowanie i umieszczanie kłód i kawałków drewna rozładowywanych z ciężarówek na podajnikach i tokarkach; obsługa i monitorowanie sprzętu sortującego, bielącego, warników, mieszalników, aparatów myjących oraz sprzętu do przetwarzania masy włóknistej; obserwowanie wskaźników, przyrządów pomiarowych i innych instrumentów będących wyposażeniem sprzętu oraz maszyn w celu wykrycia nieprawidłowości ich działania; obsługę i monitorowanie pracy rdzeniarki do produkcji sklejki oraz pras do sklejki wyposażonych w płyty grzejne; obsługę maszyn do cięcia forniru; sztaplowanie i pakietowanie tarcicy oraz transport przetworzonych wyrobów drzewnych, takich jak: sklejka, arkusze i płyty wiórowe do hal produkcyjnych. Do ich zadań może być także włączone nadzorowanie innych pracowników.",
818,Operatorzy innych maszyn i urządzeń przetwórczych,"Grupa ta obejmuje operatorów maszyn i urządzeń wydobywczych i przetwórczych niesklasyfikowanych w innych podgrupach grupy 81 Operatorzy maszyn i urządzeń wydobywczych i przetwórczych, a także operatorów maszyn do wyrobu płytek krzemowych, urządzeń do gięcia i hartowania szkła, urządzeń przemysłu ceramicznego, złącz kablowych i zaplatanych lin stalowych, maszynistów silników i kotłów parowych i pokrewnych, operatorów maszyn pakujących, operatorów innych maszyn i urządzeń przetwórczych gdzie indziej niesklasyfikowanych.",,"Zadania wykonywane przez operatorów innych maszyn i urządzeń przetwórczych ujętych w tej grupie zazwyczaj obejmują: obsługę i monitorowanie pieców, palenisk, innych maszyn i sprzętów stosowanych do wyrobu szkła, ceramiki, porcelany, płytek ceramicznych lub cegieł; obsługę maszyn do odprężania, hartowania lub dekorowania szkła i ceramiki; obsługę i konserwację stacjonarnych silników parowych, kotłów parowych, turbin i sprzętu pomocniczego; obsługę i monitorowanie maszyn do ważenia, pakowania i znakowania produktów lub umieszczania produktów w pojemnikach; obsługę urządzeń do paletyzacji; obsługę urządzeń utylizacji surowców zwierzęcych. Do ich zadań może być także włączone nadzorowanie innych pracowników.",
821,Monterzy,"Monterzy zajmują się montowaniem maszyn i urządzeń mechanicznych i elektrycznych, sprzętu elektronicznego, wyrobów z metali, gumy, tworzyw sztucznych, z drewna, tekstyliów, kartonu lub komponentów prefabrykowanych, celem składania podzespołów, produktów i sprzętów, według ściśle określonych instrukcji montażu. Składaniem produktów może zajmować się wielu monterów pracujących przy taśmie montażowej.",,"Zadania wykonywane przez monterów zazwyczaj obejmują: montowanie przy liniach montażowych rozmaitych typów produktów i sprzętów z podzespołów, zgodnie ze ściśle wytyczonymi procedurami; dokonywanie przeglądu zamówień, specyfikacji, diagramów i rysunków, w celu określenia koniecznych materiałów i zapoznania się z instrukcjami montażu; zapisywanie danych produkcyjnych i operacyjnych na określonych formularzach; sprawdzanie, badanie, uzupełnionych komponentów i zespołów, instalacji i obwodów elektrycznych; odrzucanie wadliwych zespołów i komponentów; organizowanie bezpiecznych stanowisk pracy dla siebie i zespołu. Do zadań może być także włączone nadzorowanie innych pracowników.",
831,"Maszyniści kolejowi, dyżurni ruchu i pokrewni","Maszyniści kolejowi, dyżurni ruchu i pokrewni prowadzą lub pomagają maszynistom kolejowym w celu przewozu pasażerów i ładunków, obejmują kierownictwo i sprawują ochronę nad pociągami towarowymi podczas ruchu, sprawują kontrolę nad ruchem kolejowym poprzez obsługę sygnalizatorów, obsługują zwrotnice kierując tabor na odpowiednie tory i zestawiają pociągi na placu rozrządowym, zestawiają pociągi do wykonywania transportów w kopalniach i sprawują kontrolę nad ich ruchem.",,"Zadania wykonywane przez maszynistów kolejowych, dyżurnych ruchu i pokrewnych ujętych w tej grupie zwykle obejmują: kierowanie lub pomoc w sterowaniu lokomotywami parowymi, spalinowymi, elektrowozami lub lokomotywami elektro dieslowskimi; obsługę sygnalizatorów i zwrotnic; kierowanie taboru na odpowiednie tory oraz zestawianie pociągów na placu rozrządowym; zestawianie pociągów do wykonywania transportów; formowanie pociągów holujących ciągnionych przez lokomotywę lub linę i kierowanie ich ruchem wzdłuż ciągów holowniczych w kopalniach lub kamieniołomach oraz kontrola ich ruchu. Do ich zadań należeć może nadzór nad innymi pracownikami.",
832,"Kierowcy samochodów osobowych, dostawczych i motocykli","Kierowcy samochodów osobowych, dostawczych i motocykli prowadzą i obsługują motocykle, trójkołowce silnikowe, samochody osobowe lub dostawcze w celu przewozu pasażerów, materiałów lub towarów.",,"Zadania wykonywane przez kierowców samochodów osobowych, dostawczych i motocykli zazwyczaj obejmują: kierowanie i obsługę motocykli, trójkołowców silnikowych, samochodów osobowych lub dostawczych w celu przewozu pasażerów, materiałów lub towarów; wykonywanie czynności kontrolnych, zgodnie z instrukcją obsługi użytkowanego pojazdu; dbanie o bezpieczeństwo własne, przewożonych pasażerów i ładunku oraz użytkowników drogi przez przestrzeganie przepisów kodeksu drogowego.",
833,Kierowcy ciężarówek i autobusów,"Kierowcy ciężarówek i autobusów prowadzą i obsługują samochody ciężarowe, autobusy, trolejbusy lub tramwaje do przewozu towarów, cieczy, materiałów ciężkich, poczty lub pasażerów.",,"Zadania wykonywane przez kierowców ciężarówek i autobusów zazwyczaj obejmują: kierowanie i obsługę samochodów ciężarowych i platform, autobusów, trolejbusów lub tramwajów do przewozu towarów, cieczy, materiałów ciężkich, poczty lub pasażerów; w razie konieczności dokonywanie drobnych napraw; przestrzeganie posiadania obowiązujących dokumentów pojazdu; przestrzeganie instrukcji obsługi i przepisów kodeksu drogowego; poddawanie się okresowym badaniom lekarskim (badanie sprawności fizycznej i psychicznej).",
834,Operatorzy pojazdów wolnobieżnych i pokrewni,"Operatorzy pojazdów wolnobieżnych i pokrewni prowadzą, obsługują i monitorują pracę zmotoryzowanych, wyspecjalizowanych maszyn lub sprzętów stosowanych do oczyszczania lub przygotowywania terenu; kopiących, przenoszących i rozrzucających ziemię, głazy i podobne materiały; podnoszących lub przenoszących ciężkie obiekty.",,"Zadania wykonywane przez operatorów pojazdów wolnobieżnych ujętych w tej grupie zazwyczaj obejmują: przygotowywanie i ustawianie urządzenia do działania; dostosowywanie prędkości, wysokości i głębokości przyrządów; kierowanie i obsługę pojazdu wolnobieżnego; obsługę wyposażenia do podnoszenia, kołysania i wykorzeniania drzew, kłód, ziemi i innych ciężkich obiektów lub materiałów; obsługę i monitorowanie pracy podnośników lub dźwigów nieruchomych lub ruchomych przy pracach budowlanych, transportowych i magazynujących; serwisowanie maszyn i wykonywanie drobnych napraw. Do ich zadań może także należeć nadzorowanie innych pracowników.",
835,Marynarze i pokrewni,"Marynarze i pokrewni wykonują obowiązki pokładowe na pokładach statków lub podobne obowiązki na pokładach innych obiektów wodnych, wykonując prace związane z eksploatacją i konserwacją statku lub funkcje pracowników działu maszynowego, obsługując, konserwując i naprawiając urządzenia siłowni statkowych; wykonują prace związane z pomiarami morskimi i portowymi, koniecznymi przy hydrograficznych pracach sondażowych; obsługują również latarnie morskie.",,"Do zadań wykonywanych przez marynarzy ujętych w tej grupie zazwyczaj należy: pełnienie pod nadzorem oficera wacht morskich i portowych; udział w operacjach manewrowych; cumowanie, odcumowywanie, kotwiczenie statku; sterowanie statkiem pod nadzorem kapitana statku; ustawianie wież obserwacyjnych na morzu oraz podczas wchodzenia i opuszczania portu i innych wąskich dróg wodnych; naprawa, konserwacja, a w niektórych przypadkach, obsługa sprzętu, urządzeń ładunkowych, takielunku, sprzętu ratowniczego i przeciwpożarowego; czyszczenie i konserwacja pokładu i kadłuba; przygotowywanie do rejsu, olinowanie i sztauowanie urządzeń do przeładunku towarów, takielunku nieruchomego i części ruchomych; wykonywanie prac związanych z pomiarami morskimi i portowymi przy hydrograficznych pracach sondażowych; wykonywanie prac zapewniających bezawaryjne funkcjonowanie latarni morskiej; kierowanie tratwą i załogą podczas spławu drewna i postoju, nadzorowanie żeglugi i odpowiadanie za tratwę i bezpieczeństwo załogi. Do ich zadań może być także włączony nadzór nad innymi pracownikami.",
911,"Pomoce i sprzątaczki domowe, biurowe, hotelowe","Pomoce i sprzątaczki domowe, biurowe, hotelowe zajmują się zamiataniem, odkurzaniem, myciem, polerowaniem, dbaniem o czystość bielizny pościelowej, nabywaniem akcesoriów domowych; wykonywaniem rozmaitych zadań w celu utrzymania czystości i porządku wnętrz i wyposażenia hoteli, biur i innych zakładów, a także samolotów, pociągów, autobusów i podobnych pojazdów.",,"Do zadań wykonywanych przez pracowników ujętych w tej grupie zazwyczaj należy: zamiatanie i odkurzanie, mycie i polerowanie podłóg, mebli i innych przedmiotów w hotelach, biurach i innych zakładach; ścielenie łóżek, dostarczanie ręczników, mydeł i pokrewnych przedmiotów; pomoc w przygotowywaniu posiłków i zmywaniu naczyń; czyszczenie, dezynfekowanie kuchni, łazienek i toalet.",
912,"Myjący pojazdy, szyby, praczki i inni sprzątacze","Myjący pojazdy, szyby, praczki i inni sprzątacze zajmują się czyszczeniem okien, witryn lub innych powierzchni budynków lub pojazdów oraz ręcznym prasowaniem lub praniem chemicznym bielizny pościelowej i innych wyrobów włókienniczych.",Do zadań wykonywanych przez pracowników ujętych w tej grupie zazwyczaj należy:,,"czyszczenie, mycie i polerowanie samochodów; mycie okien lub innych powierzchni szklanych przy użyciu wody lub różnych roztworów oraz ich suszenie i polerowanie; pranie i prasowanie bielizny pościelowej, odzieży, tkanin i podobnych wyrobów ręcznie lub pralni; ręczne czyszczenie ubiorów, tkanin i wyrobów skórzanych i podobnych za pomocą roztworów chemicznych, w pralniach chemicznych i innych punktach pralniczych."
921,"Robotnicy wykonujący prace proste w rolnictwie, leśnictwie i rybactwie","Robotnicy wykonujący prace proste w rolnictwie, leśnictwie i rybactwie wykonują proste i rutynowe czynności przy produkcji upraw i żywca, uprawianiu i utrzymywaniu ogrodów i parków, eksploatacji i konserwacji lasów oraz wykonywaniu działań z dziedziny akwakultury i rybołówstwa.",,"Do zadań wykonywanych przez robotników pomocniczych ujętych w tej grupie zazwyczaj należy: kopanie, grabienie i odgarnianie przy użyciu narzędzi ręcznych; ładowanie, rozładowywanie i stertowanie zapasów, produktów i innych materiałów; podlewanie, przerzedzanie i obrabianie upraw, ręcznie lub przy użyciu narzędzi ręcznych; ręczne sadzenie, zbieranie i zrywanie produktów; żywienie, pojenie i czyszczenie zwierząt i utrzymywanie w czystości ich kwater; monitorowanie inwentarza żywego, raportowanie ich stanu; przygotowywanie i obsługa sieci, lin i innego sprzętu pokładowego; sortowanie, zbieranie i pakowanie produktów do pojemników; przeprowadzanie drobnych napraw sprzętów, wyposażenia budynków, statków i ogrodzeń.",
